,True,False,Poulet Rouge Vaudreuil-Dorion,[],/adredir?ad_business_id=sURYhLGZfelbswHAX3UJdA&amp;campaign_id=DTs0rnSgkC3-5IrSVCZ2vw&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpoulet-rouge-vaudreuil-dorion-vaudreuil-dorion&amp;request_id=979028997c299af7&amp;signature=6b63c7b727f6e639e1d6becc0f9078f9dea9c7bd4729252ecd28c24327d9ba4c&amp;slot=0,"[{'title': 'Fast Food', 'url': '/search?find_desc=Fast+Food&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Salad', 'url': '/search?find_desc=Salad&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Fast Food', 'url': '/search?find_desc=Fast+Food&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,0.0,True,0,,[],+1-450-455-5544,,,,https://biz.yelp.com,[],{},poulet-rouge-vaudreuil-dorion-vaudreuil-dorion,/adredir?ad_business_id=sURYhLGZfelbswHAX3UJdA&amp;campaign_id=DTs0rnSgkC3-5IrSVCZ2vw&amp;click_origin=search_results_visit_website&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz_redir%3Fcachebuster%3D1695811994%26s%3De764745f138b0b7719c9b1ccb2c6ea7dd34e51538c66256cc5ff073825a74579%26src_bizid%3DsURYhLGZfelbswHAX3UJdA%26url%3Dhttps%253A%252F%252Fpoulet-rouge.ca%26website_link_type%3Dwebsite&amp;request_id=979028997c299af7&amp;signature=4dc3937df955e187aa00b42b988e0bf1ccdcbce8758cc601894b243b3fec0592&amp;slot=0
81.0,False,False,Second Cup,[],/biz/second-cup-dollard-des-ormeaux?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",$$,3.3,True,4,,['Dollard-des-Ormeaux'],(514) 683-3623,,,,,[],{},second-cup-dollard-des-ormeaux,http://www.secondcup.com/location/montreal-3365-s-boul-des-sources-ddo
82.0,False,False,Mr. Puffs,[],/biz/mr-puffs-pointe-claire-2?osq=cafe,"[{'title': 'Desserts', 'url': '/search?find_desc=Desserts&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,4.2,True,15,,[],(514) 694-3377,,,,,[],{},mr-puffs-pointe-claire-2,https://mrpuffs.com/store-locator/
83.0,False,False,Dépanneur Parisoir Spot Café,[],/biz/d%C3%A9panneur-parisoir-spot-caf%C3%A9-saint-laurent?osq=cafe,"[{'title': 'Convenience Stores', 'url': '/search?find_desc=Convenience+Stores&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Beer, Wine &amp; Spirits', 'url': '/search?find_desc=Beer%2C+Wine+%26+Spirits&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",$,3.8,True,4,,['Saint-Laurent'],(514) 747-3574,,,,,[],{},dépanneur-parisoir-spot-café-saint-laurent,http://depanneurparisoir.com
84.0,False,False,Tommy Café,[],/biz/tommy-caf%C3%A9-pointe-claire?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Breakfast &amp; Brunch', 'url': '/search?find_desc=Breakfast+%26+Brunch&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Tapas Bars', 'url': '/search?find_desc=Tapas+Bars&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,2.5,True,2,,[],(514) 694-5533,,,,,[],{},tommy-café-pointe-claire,https://tommycafe.ca
85.0,False,False,Expresso Bar,[],/biz/expresso-bar-montr%C3%A9al?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",$$,4.0,True,1,,['Ahuntsic-Cartierville'],(514) 331-7600,,,,,[],{},expresso-bar-montréal,
86.0,False,False,Bar Laitier Nonna,[],/biz/bar-laitier-nonna-dorval?osq=cafe,"[{'title': 'Ice Cream &amp; Frozen Yogurt', 'url': '/search?find_desc=Ice+Cream+%26+Frozen+Yogurt&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,5.0,True,1,,['Dorval'],(514) 827-9520,,,,,[],{},bar-laitier-nonna-dorval,
87.0,False,False,FreshMTL,[],/biz/freshmtl-montr%C3%A9al?osq=cafe,"[{'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Juice Bars &amp; Smoothies', 'url': '/search?find_desc=Juice+Bars+%26+Smoothies&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,5.0,True,1,,['Saint-Laurent'],(514) 434-0855,,,,,[],{},freshmtl-montréal,http://www.freshmtl.ca
88.0,False,False,Joe-Anna’s,[],/biz/joe-annas-oka?osq=cafe,"[{'title': 'Ice Cream &amp; Frozen Yogurt', 'url': '/search?find_desc=Ice+Cream+%26+Frozen+Yogurt&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Fast Food', 'url': '/search?find_desc=Fast+Food&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,0.0,True,0,,[],(450) 479-1054,,,,,[],{},joe-annas-oka,
89.0,False,False,Boutique Java Kap,[],/biz/boutique-java-kap-montr%C3%A9al?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,3.0,True,2,,[],(514) 675-4410,,,,,[],{},boutique-java-kap-montréal,http://javakap.com
,True,False,Poulet Rouge Vaudreuil-Dorion,[],/adredir?ad_business_id=sURYhLGZfelbswHAX3UJdA&amp;campaign_id=DTs0rnSgkC3-5IrSVCZ2vw&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpoulet-rouge-vaudreuil-dorion-vaudreuil-dorion&amp;request_id=1c9847d202b5930f&amp;signature=c6ad2c07e7e00f8ff274c1c555b0f12532c157e9c987a090055860dc04dda8b0&amp;slot=0,"[{'title': 'Chicken Shop', 'url': '/search?find_desc=Chicken+Shop&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Fast Food', 'url': '/search?find_desc=Fast+Food&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Salad', 'url': '/search?find_desc=Salad&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,0.0,False,0,,[],+1-450-455-5544,,,,https://biz.yelp.com,[],{},poulet-rouge-vaudreuil-dorion-vaudreuil-dorion,/adredir?ad_business_id=sURYhLGZfelbswHAX3UJdA&amp;campaign_id=DTs0rnSgkC3-5IrSVCZ2vw&amp;click_origin=search_results_visit_website&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz_redir%3Fcachebuster%3D1695811994%26s%3De764745f138b0b7719c9b1ccb2c6ea7dd34e51538c66256cc5ff073825a74579%26src_bizid%3DsURYhLGZfelbswHAX3UJdA%26url%3Dhttps%253A%252F%252Fpoulet-rouge.ca%26website_link_type%3Dwebsite&amp;request_id=1c9847d202b5930f&amp;signature=01456274a3bd339d16db94b0b3d2ed73c942b3d1b5cee11f3b205cb97f92aed1&amp;slot=0
91.0,False,False,Tim Hortons,[],/biz/tim-hortons-rigaud?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Breakfast &amp; Brunch', 'url': '/search?find_desc=Breakfast+%26+Brunch&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",$,2.3,False,4,,[],(450) 451-5898,,,,,[],{},tim-hortons-rigaud,http://locations.timhortons.ca/qc/rigaud/445-ch-de-la-grande-ligne
92.0,False,False,John Abbott College’s Sodexo Cafeteria,[],/biz/john-abbott-colleges-sodexo-cafeteria-sainte-anne-de-bellevue?osq=cafe,"[{'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,2.0,False,1,,"[""Baie-d'Urfé""]",(514) 457-6610,,,,,[],{},john-abbott-colleges-sodexo-cafeteria-sainte-anne-de-bellevue,http://www.johnabbott.qc.ca
93.0,False,False,Panda Donuts,[],/biz/panda-donuts-sainte-anne-de-bellevue-2?osq=cafe,"[{'title': 'Donuts', 'url': '/search?find_desc=Donuts&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Bubble Tea', 'url': '/search?find_desc=Bubble+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,4.2,False,5,,[],(438) 722-8885,,,,,[],{},panda-donuts-sainte-anne-de-bellevue-2,
94.0,False,False,Woouf,[],/biz/woouf-laval?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Dog Parks', 'url': '/search?find_desc=Dog+Parks&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}, {'title': 'Pet Stores', 'url': '/search?find_desc=Pet+Stores&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,3.7,False,3,,['Laval'],(450) 969-3636,,,,,[],{},woouf-laval,http://www.woouf.ca
95.0,False,False,Starbucks,[],/biz/starbucks-dorval-3?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",,4.5,False,2,,['Dorval'],(438) 998-2608,,,,,[],{},starbucks-dorval-3,https://fr.starbucks.ca/store-locator/store/1029400/dorval-1250-herron-1250-chemin-herron-dorval-qc-h-9-s-1-b-4-ca
96.0,False,False,Starbucks,[],/biz/starbucks-dollard-des-ormeaux-2?osq=cafe,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Salaberry-de-Valleyfield%2C+QC'}]",$$,3.7,False,3,,[],(514) 626-3223,,,,,[],{},starbucks-dollard-des-ormeaux-2,http://www.starbucks.com/store/812/ca/st-jean-de-salaberry/3700-st-jean-dollard-des-ormeaux-qc-h9g-1x1
